date,Temperature Score,Awake Time,Low Activity Time,Average MET,Sleep Latency Score,Total Sleep Score,Bedtime Start,Total Bedtime ,Training Volume Score,Sleep Balance Score,Sleep Timing,Temperature Deviation (°C),Stay Active Score,Light Sleep Duration,Respiratory Rate,Sleep Timin Score,REM Sleep Score,Lowest Resting Heart Rate,Activity Burn,Rest Time,Non-wear Time,Total Burn,Long Periods of Inactivity,Inactive Time,REM Sleep Duration,Resting Heart Rate Score,Previous Night Score,Activity Balance Score,Average HRV,Meet Daily Targets Score,Activity Score,Bedtime End,Restfulness Score,Training Frequency Score,Deep Sleep Duration,Previous Day Activity Score,Readiness Score,HRV Balance Score,Steps,Medium Activity Time,Temperature Trend Deviation,High Activity Time,Sleep Score,Sleep Latency,Sleep Efficiency Score,Total Sleep Duration,Restless Sleep,Deep Sleep Score,Sleep Efficiency,Move Every Hour Score,Recovery Index Score,Equivalent Walking Distance,Average Resting Heart Rate
2024-11-26,100,2070,21600,1.4375,94,84,2024-11-26T01:58:00.000+01:00,31200,25,67,15780,0.04,67,14550,14.25,16,84,49,296,24120,2760,2460,1,37380,6480,77,79,94,104,1,48,2024-11-26T10:38:00.000+01:00,97,1,8100,80,76,79,6795,540,-0.02,0,83,1020,98,29130,225,98,93,95,53,4693,54.24
2024-11-27,96,960,20160,1.46875,75,60,2024-11-27T03:47:27.000+01:00,23760,37,67,11850,-0.27,73,12240,14.25,8,61,53,406,30480,0,2530,0,34200,4710,38,45,92,109,1,51,2024-11-27T10:23:27.000+01:00,96,1,5850,80,67,81,8853,1560,-0.17,0,69,390,100,22800,142,89,96,100,66,7306,57.97
2024-11-28,94,1225,7980,1.625,72,100,2024-11-28T01:47:35.000+01:00,36715,96,84,18240,-0.33,86,19110,14.5,10,98,48,753,28740,23220,2777,1,19860,8430,88,90,90,101,25,72,2024-11-28T11:59:30.000+01:00,93,40,7950,82,81,73,9479,6600,-0.05,0,87,330,100,35490,253,98,97,95,51,13709,55.57
2024-11-30,100,990,18060,1.71875,72,100,2024-11-30T02:36:31.000+01:00,35280,100,80,17580,-0.15,95,13920,14.25,4,100,50,864,37920,0,2968,0,23760,9930,68,90,92,100,43,84,2024-11-30T12:24:31.000+01:00,96,96,10440,59,79,66,12204,6660,-0.2,0,87,300,100,34290,281,100,97,100,100,15166,54.11
2024-12-01,100,1404,14460,1.90625,78,86,2024-12-01T01:37:31.000+01:00,31074,100,74,15480,-0.02,81,15780,14.625,20,87,51,1194,30060,3180,3305,0,29700,6720,60,75,98,102,60,87,2024-12-01T10:15:25.000+01:00,87,100,7170,85,74,67,14441,8820,-0.14,180,81,420,100,29670,236,97,95,100,58,20954,57.69
2024-12-02,100,2460,23100,2.125,78,85,2024-12-02T01:28:58.000+01:00,31860,100,80,16080,0.01,99,11430,14.5,20,95,48,1513,30300,900,3693,0,18840,7350,90,80,90,111,78,94,2024-12-02T10:19:58.000+01:00,98,100,10620,68,80,66,21598,12780,0.0,480,83,1350,97,29400,211,100,92,100,86,27428,52.27
2024-12-03,98,1839,12540,1.65625,89,88,2024-12-03T01:27:05.000+01:00,32139,100,81,16230,0.08,69,15570,14.375,19,96,50,778,30540,1620,2857,1,36000,7500,71,83,82,101,95,90,2024-12-03T10:22:44.000+01:00,89,100,7230,68,77,60,12075,5220,0.0,480,84,690,99,30300,232,97,94,95,90,13660,55.6
2024-12-04,100,3090,10440,1.6875,97,97,2024-12-04T02:19:01.000+01:00,35880,100,84,17520,-0.01,68,17070,14.125,7,96,50,861,30660,0,2940,2,39060,7620,71,93,85,102,100,86,2024-12-04T12:17:01.000+01:00,98,100,8100,65,80,61,10515,6180,0.0,60,88,960,96,32790,258,98,91,78,100,14774,53.1
2024-12-05,90,1124,35040,2.125,89,93,2024-12-05T03:35:01.000+01:00,32654,100,82,16500,-0.46,100,16170,13.75,1,95,45,1481,31140,2520,3664,0,8820,7290,99,85,73,91,100,91,2024-12-05T12:39:15.000+01:00,97,100,8070,71,77,56,23229,8160,-0.13,720,85,660,100,31530,251,98,97,100,62,26182,51.3
2024-12-07,100,450,6000,1.25,67,82,2024-12-07T02:56:33.000+01:00,28950,100,82,14550,-0.13,55,13320,14.0,9,87,47,151,25140,43440,2117,0,11340,6720,98,73,78,104,95,92,2024-12-07T10:59:03.000+01:00,98,100,8460,70,78,56,3384,480,-0.09,0,80,180,100,28500,204,99,98,100,83,3053,50.62
2024-12-09,57,3538,13020,1.375,86,68,2024-12-09T01:53:34.000+01:00,28348,97,73,14250,0.58,63,13200,15.0,21,64,49,298,31800,2580,2370,1,37320,4980,79,55,73,94,60,83,2024-12-09T09:46:02.000+01:00,89,96,6630,78,67,52,6222,1620,0.37,60,73,600,90,24810,205,96,88,95,71,5231,56.86
2024-12-10,100,3109,15780,1.40625,86,79,2024-12-10T00:41:33.000+01:00,30799,89,77,14970,-0.07,55,16260,14.0,44,71,47,285,27480,1380,2403,1,40800,5490,98,76,80,118,43,74,2024-12-10T09:14:52.000+01:00,96,71,5940,81,75,62,6212,900,-0.06,60,81,630,95,27690,173,89,90,95,37,5018,52.4
2024-12-11,89,2755,14820,1.40625,83,76,2024-12-11T01:20:03.000+01:00,29695,78,67,14850,0.2,87,14640,14.0,25,75,49,379,33120,10860,2431,0,25500,5790,79,69,82,114,25,70,2024-12-11T09:34:58.000+01:00,95,40,6510,79,72,57,6090,2100,0.37,0,78,1230,96,26940,160,95,91,100,70,6772,54.9
2024-12-12,95,1285,20160,1.5625,91,87,2024-12-12T00:42:34.000+01:00,31075,79,70,15600,-0.31,61,12570,14.375,38,98,47,498,20580,1500,2676,2,41580,8190,98,92,85,116,25,60,2024-12-12T09:20:29.000+01:00,91,1,9030,86,79,64,11686,2580,0.12,0,87,720,100,29790,183,100,96,78,46,8958,52.92
2024-12-13,93,3025,20760,1.40625,94,82,2024-12-13T03:28:33.000+01:00,31495,81,65,15270,0.15,93,16110,14.25,2,59,50,369,39240,840,2459,0,24120,4560,70,67,91,93,25,67,2024-12-13T12:13:28.000+01:00,92,1,7800,75,72,59,8588,1380,0.1,60,77,780,95,28470,235,98,90,100,81,6131,56.28
2024-12-14,99,3270,18720,2.15625,22,79,2024-12-14T00:58:03.000+01:00,30960,100,66,16710,0.08,96,17070,14.25,23,67,45,1521,29640,1020,3713,0,20940,5160,100,50,96,113,43,79,2024-12-14T09:34:03.000+01:00,92,40,5460,94,71,71,17511,15840,0.08,240,70,2700,93,27690,241,82,89,100,9,27925,55.83
